Name,Accuracy,Loss
model--1610719647 ,1610719994,0.79,0.15120737254619598
model--1610719647 ,1610719994,0.87,0.10169847309589386
model--1610719647 ,1610719994,0.76,0.1673828661441803
model--1610719647 ,1610719994,0.86,0.10488222539424896
model--1610719647 ,1610719994,0.69,0.19714950025081635
model--1610719647 ,1610719994,0.76,0.15972574055194855
model--1610719647 ,1610719995,0.84,0.10481701791286469
model--1610719647 ,1610719995,0.79,0.1502479463815689
model--1610719647 ,1610719995,0.85,0.1326913982629776
model--1610719647 ,1610719995,0.84,0.11460597068071365
model--1610719647 ,1610719995,0.8,0.14351333677768707
model--1610719647 ,1610719995,0.77,0.15062743425369263
model--1610719647 ,1610719995,0.85,0.12373553216457367
model--1610719647 ,1610719995,0.8,0.14753678441047668
model--1610719647 ,1610719995,0.89,0.08200152963399887
model--1610719647 ,1610719995,0.85,0.1139141172170639
model--1610719647 ,1610719995,0.86,0.09636805951595306
model--1610719647 ,1610719995,0.87,0.10731571167707443
model--1610719647 ,1610719995,0.81,0.13043303787708282
model--1610719647 ,1610719995,0.86,0.10608812421560287
model--1610719647 ,1610719995,0.83,0.13269515335559845
model--1610719647 ,1610719995,0.86,0.12118320167064667
model--1610719647 ,1610719995,0.84,0.12035944312810898
model--1610719647 ,1610719995,0.72,0.17847777903079987
model--1610719647 ,1610719995,0.84,0.10271979868412018
model--1610719647 ,1610719996,0.91,0.07723637670278549
model--1610719647 ,1610719996,0.86,0.11811169981956482
model--1610719647 ,1610719996,0.9,0.07408446073532104
model--1610719647 ,1610719996,0.78,0.16393323242664337
model--1610719647 ,1610719996,0.79,0.150065079331398
model--1610719647 ,1610719996,0.87,0.10751409083604813
model--1610719647 ,1610719996,0.83,0.12556736171245575
model--1610719647 ,1610719996,0.88,0.10046752542257309
model--1610719647 ,1610719996,0.83,0.11408235877752304
model--1610719647 ,1610719996,0.82,0.10434174537658691
model--1610719647 ,1610719996,0.84,0.10821264237165451
model--1610719647 ,1610719996,0.85,0.1090187206864357
model--1610719647 ,1610719996,0.84,0.11029485613107681
model--1610719647 ,1610719996,0.85,0.10317332297563553
model--1610719647 ,1610719996,0.87,0.11988545954227448
model--1610719647 ,1610719996,0.9,0.08561670035123825
model--1610719647 ,1610719996,0.84,0.11370126157999039
model--1610719647 ,1610719996,0.87,0.11244596540927887
model--1610719647 ,1610719996,0.75,0.16556845605373383
model--1610719647 ,1610719997,0.86,0.10029710829257965
model--1610719647 ,1610719997,0.9,0.0807972103357315
model--1610719647 ,1610719997,0.82,0.1273488849401474
model--1610719647 ,1610719997,0.7,0.20016053318977356
model--1610719647 ,1610719997,0.78,0.1456216424703598
model--1610719647 ,1610719997,0.86,0.10610944777727127
model--1610719647 ,1610719997,0.81,0.13150563836097717
model--1610719647 ,1610719997,0.9,0.08562041819095612
model--1610719647 ,1610719997,0.81,0.12417888641357422
model--1610719647 ,1610719997,0.87,0.08167748153209686
model--1610719647 ,1610719997,0.78,0.13471148908138275
model--1610719647 ,1610719997,0.81,0.1411529928445816
model--1610719647 ,1610719997,0.8,0.13158348202705383
model--1610719647 ,1610719997,0.8,0.15012799203395844
model--1610719647 ,1610719997,0.85,0.10560517013072968
